timestamp,session_id,pinyin,character,group,correct
2026-01-19T19:44:27.411351,practice_20260119_194020,_practice_start_,_practice_,0,practice
2026-01-19T19:40:20.430005,practice_20260119_194020,_practice_end_,_practice_,0,practice
2026-01-19T19:46:56.512145,practice_20260119_194646,_practice_start_,_practice_,0,practice
2026-01-19T19:46:46.812199,practice_20260119_194646,_practice_end_,_practice_,0,practice
2026-01-19T19:47:04.246120,practice_20260119_194704,_practice_start_,_practice_,0,practice
2026-01-19T19:47:04.226663,practice_20260119_194704,_practice_end_,_practice_,0,practice
2026-01-19T19:47:08.106226,practice_20260119_194708,_practice_start_,_practice_,0,practice
2026-01-19T19:47:08.085858,practice_20260119_194708,_practice_end_,_practice_,0,practice
2026-01-19T19:47:13.128157,practice_20260119_194713,_practice_start_,_practice_,0,practice
2026-01-19T19:47:13.107806,practice_20260119_194713,_practice_end_,_practice_,0,practice
2026-01-19T19:47:44.102327,practice_20260119_194716,_practice_start_,_practice_,0,practice
2026-01-19T19:47:16.335010,practice_20260119_194716,_practice_end_,_practice_,0,practice
2026-01-19T19:49:21.396019,practice_20260119_194749,_practice_start_,_practice_,0,practice
2026-01-19T19:47:49.917932,practice_20260119_194749,_practice_end_,_practice_,0,practice
2026-01-19T20:16:55.635520,practice_20260119_194928,_practice_start_,_practice_,0,practice
2026-01-19T19:49:28.847523,practice_20260119_194928,_practice_end_,_practice_,0,practice
2026-01-19T20:17:55.287433,practice_20260119_201752,_practice_start_,_practice_,0,practice
2026-01-19T20:17:52.135308,practice_20260119_201752,_practice_end_,_practice_,0,practice
2026-01-19T20:18:04.476175,practice_20260119_201804,_practice_start_,_practice_,0,practice
2026-01-19T20:18:04.456824,practice_20260119_201804,_practice_end_,_practice_,0,practice
2026-01-19T20:18:07.345291,practice_20260119_201807,_practice_start_,_practice_,0,practice
2026-01-19T20:18:07.325059,practice_20260119_201807,_practice_end_,_practice_,0,practice
2026-01-19T20:18:16.791687,practice_20260119_201809,_practice_start_,_practice_,0,practice
2026-01-19T20:18:09.299407,practice_20260119_201809,_practice_end_,_practice_,0,practice
2026-01-19T20:18:25.054236,practice_20260119_201825,_practice_start_,_practice_,0,practice
2026-01-19T20:18:25.030807,practice_20260119_201825,_practice_end_,_practice_,0,practice
2026-01-19T20:18:25.975221,practice_20260119_201825,_practice_start_,_practice_,0,practice
2026-01-19T20:18:25.956560,practice_20260119_201825,_practice_end_,_practice_,0,practice
2026-01-19T20:18:32.722348,practice_20260119_201826,_practice_start_,_practice_,0,practice
2026-01-19T20:18:26.796530,practice_20260119_201826,_practice_end_,_practice_,0,practice
2026-01-19T20:21:44.616638,practice_20260119_202144,_practice_start_,_practice_,0,practice
2026-01-19T20:21:44.596226,practice_20260119_202144,_practice_end_,_practice_,0,practice
2026-01-19T20:21:46.580215,practice_20260119_202146,_practice_start_,_practice_,0,practice
2026-01-19T20:21:46.560761,practice_20260119_202146,_practice_end_,_practice_,0,practice
2026-01-19T20:21:48.281806,practice_20260119_202148,_practice_start_,_practice_,0,practice
2026-01-19T20:21:48.261023,practice_20260119_202148,_practice_end_,_practice_,0,practice
2026-01-19T20:21:55.656045,practice_20260119_202149,_practice_start_,_practice_,0,practice
2026-01-19T20:21:49.559107,practice_20260119_202149,_practice_end_,_practice_,0,practice
2026-01-19T20:22:26.727408,practice_20260119_202224,_practice_start_,_practice_,0,practice
2026-01-19T20:22:24.803860,practice_20260119_202224,_practice_end_,_practice_,0,practice
2026-01-19T20:34:10.560859,practice_20260119_203409,_practice_start_,_practice_,0,practice
2026-01-19T20:34:09.144004,practice_20260119_203409,_practice_end_,_practice_,0,practice
2026-01-19T20:34:32.505087,practice_20260119_203432,_practice_start_,_practice_,0,practice
2026-01-19T20:34:32.484127,practice_20260119_203432,_practice_end_,_practice_,0,practice
2026-01-19T20:34:34.692618,practice_20260119_203434,_practice_start_,_practice_,0,practice
2026-01-19T20:34:34.673319,practice_20260119_203434,_practice_end_,_practice_,0,practice
2026-01-19T20:34:37.017133,practice_20260119_203435,_practice_start_,_practice_,0,practice
2026-01-19T20:34:35.494565,practice_20260119_203435,_practice_end_,_practice_,0,practice
2026-01-19T20:34:39.319376,practice_20260119_203439,_practice_start_,_practice_,0,practice
2026-01-19T20:34:39.296405,practice_20260119_203439,_practice_end_,_practice_,0,practice
2026-01-19T20:34:40.451428,practice_20260119_203440,_practice_start_,_practice_,0,practice
2026-01-19T20:34:40.435956,practice_20260119_203440,_practice_end_,_practice_,0,practice
2026-01-19T20:36:01.782280,practice_20260119_203559,_practice_start_,_practice_,0,practice
2026-01-19T20:35:59.858265,practice_20260119_203559,_practice_end_,_practice_,0,practice
2026-01-19T20:36:04.749905,practice_20260119_203604,_practice_start_,_practice_,0,practice
2026-01-19T20:36:04.725820,practice_20260119_203604,_practice_end_,_practice_,0,practice
2026-01-19T20:36:07.838651,practice_20260119_203607,_practice_start_,_practice_,0,practice
2026-01-19T20:36:07.821735,practice_20260119_203607,_practice_end_,_practice_,0,practice
2026-01-19T20:53:49.340116,practice_20260119_205346,_practice_start_,_practice_,0,practice
2026-01-19T20:53:46.717467,practice_20260119_205346,_practice_end_,_practice_,0,practice
2026-01-19T21:35:37.885843,practice_20260119_213535,_practice_start_,_practice_,0,practice
2026-01-19T21:35:35.362997,practice_20260119_213535,_practice_end_,_practice_,0,practice
2026-01-19T21:36:41.068028,practice_20260119_213641,_practice_start_,_practice_,0,practice
2026-01-19T21:36:41.039297,practice_20260119_213641,_practice_end_,_practice_,0,practice
2026-01-19T21:36:43.520960,practice_20260119_213643,_practice_start_,_practice_,0,practice
2026-01-19T21:36:43.491278,practice_20260119_213643,_practice_end_,_practice_,0,practice
2026-01-19T21:36:44.796326,practice_20260119_213644,_practice_start_,_practice_,0,practice
2026-01-19T21:36:44.769512,practice_20260119_213644,_practice_end_,_practice_,0,practice
2026-01-19T21:36:47.737848,practice_20260119_213645,_practice_start_,_practice_,0,practice
2026-01-19T21:36:45.783156,practice_20260119_213645,_practice_end_,_practice_,0,practice
2026-01-19T21:38:03.828726,practice_20260119_213650,_practice_start_,_practice_,0,practice
2026-01-19T21:36:50.827503,practice_20260119_213650,_practice_end_,_practice_,0,practice
2026-01-19T21:38:29.781879,practice_20260119_213829,_practice_start_,_practice_,0,practice
2026-01-19T21:38:29.743931,practice_20260119_213829,_practice_end_,_practice_,0,practice
2026-01-19T21:43:27.302117,practice_20260119_214318,_practice_start_,_practice_,0,practice
2026-01-19T21:43:18.194673,practice_20260119_214318,_practice_end_,_practice_,0,practice
2026-01-19T21:43:31.583793,practice_20260119_214329,_practice_start_,_practice_,0,practice
2026-01-19T21:43:29.967623,practice_20260119_214329,_practice_end_,_practice_,0,practice
2026-01-19T21:52:21.011115,practice_20260119_215212,_practice_start_,_practice_,0,practice
2026-01-19T21:52:12.051802,practice_20260119_215212,_practice_end_,_practice_,0,practice
2026-01-19T21:57:05.316388,practice_20260119_215301,_practice_start_,_practice_,0,practice
2026-01-19T21:53:01.959733,practice_20260119_215301,_practice_end_,_practice_,0,practice
2026-01-19T21:57:51.413189,practice_20260119_215751,_practice_start_,_practice_,0,practice
2026-01-19T21:59:44.510481,practice_20260119_215751,_practice_end_,_practice_,0,practice
2026-01-19T21:59:51.123987,practice_20260119_215951,_practice_start_,_practice_,0,practice
2026-01-19T22:00:10.521287,practice_20260119_215951,_practice_end_,_practice_,0,practice
2026-01-19T22:00:12.196522,practice_20260119_220012,_practice_start_,_practice_,0,practice
2026-01-19T22:14:19.068745,practice_20260119_220012,_practice_end_,_practice_,0,practice
2026-01-20T16:59:12.261227,practice_20260120_165912,_practice_start_,_practice_,0,practice,0
2026-01-20T16:59:29.846618,practice_20260120_165912,_practice_end_,_practice_,0,practice,0
2026-01-20T16:59:43.759201,practice_20260120_165943,_practice_start_,_practice_,0,practice,1
2026-01-20T16:59:47.128426,practice_20260120_165943,_practice_end_,_practice_,0,practice,1
2026-01-20T17:04:53.019860,practice_20260120_170453,_practice_start_,_practice_,2,practice
